event_id,city,season,year,parent_ticker,ticker,brands_showing,n_brands_showing,fw_start_date,show_date,fw_end_date,local_index,trading_day_t0,local_index_used,CAR_pre30,CAR_pre10,CAR_pre5,CAR_0to1,CAR_0to5,CAR_0to10,CAR_0to30,AR_t1,AR_t5,AR_t10,raw_cum_return_t10,benchmark_cum_return_t10,during_FW_AR
E00006,milan,FW,2000,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI,2000-02-24,^FCHI,-0.24475034760601394,0.053466311748050006,0.022388475601100504,0.0223250924288056,-0.019085564721169103,-0.035785674202786596,-0.03392804509413669,0.0130804514603188,-0.0229936959812434,0.00025232696570300084,-0.1402204562309863,0.14031556557781422,0.0034704777667925978
E00011,milan,FW,2000,MC.PA,MC.PA,Fendi,1,2000-02-24,2000-02-24,2000-02-29,FTSEMIB.MI,2000-02-24,^FCHI,-0.23460272068645258,-0.12732138914419702,-0.0943203443396345,0.052673956419619195,-0.031005780346993604,-0.012377926427287897,0.1379561773728014,0.033956882032107394,-0.0470750510168366,0.0173970909450747,-0.1066650815359263,0.14031556557781422,0.0312514016318987
E00012,paris,FW,2000,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2000-03-01,2000-03-01,2000-03-06,^FCHI,2000-03-01,^FCHI,-0.233158581339121,-0.047166757751217606,0.024052301358339995,-0.0622571819788923,-0.061026419004261326,0.12113111384893899,0.11082131158494332,-0.0470750510168366,0.0063146250466504,0.004817120535585501,-0.024972947922426988,0.087054519567755,-0.13396803761585802
E00013,paris,FW,2000,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2000-03-01,2000-03-01,2000-03-06,^FCHI,2000-03-01,^FCHI,-0.20202433767336672,-0.005916590921200688,-0.0039092801267725,-0.0225560424879617,-0.0395084789352822,-0.0730828628819862,-0.05267674556872522,-0.0229936959812434,-0.033636871636351096,-0.013118235295260103,-0.18805268098759792,0.087054519567755,0.010390221622562798
E00014,paris,FW,2000,RMS.PA,RMS.PA,Hermès,1,2000-03-01,2000-03-01,2000-03-06,^FCHI,2000-03-01,^FCHI,-0.16801064022650009,-0.11062671424207964,-0.06754179153169769,0.014024278322564799,-0.017725012942674402,0.12166535760704242,0.09385475237789802,0.0131407509771879,0.0030962102661651007,0.0972051179888052,0.040709236948297325,0.087054519567755,-0.0789277587583596
E00017,new_york,SS,2000,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2000-09-08,2000-09-08,2000-09-14,^GSPC,2000-09-08,^GSPC,-0.010104247127319395,0.1468814093886504,0.0392731218680626,0.027905769876153005,0.1952290245007702,0.17398657876330018,0.1762957678192805,-0.0089880221471224,0.0102217189345212,-0.0108832174251058,0.16133155833328058,-0.0025507733027002044,0.185007305566249
E00018,new_york,SS,2000,RL,RL,Ralph Lauren,1,2000-09-08,2000-09-08,2000-09-14,^GSPC,2000-09-08,^GSPC,0.08713950437120903,0.028704410198127795,-0.019302624314626805,0.012110069069673199,0.014909071492652097,-0.0556008811224873,0.07286003938292668,0.0067647223328673,-0.0093224837603381,-0.0139563586621597,0.02898784994602153,-0.0025507733027002044,0.024231555252990197
E00020,milan,SS,2000,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI,2000-09-21,^FCHI,-0.024923692279259974,0.0025252533078484046,0.0271482340512327,0.0333648446938314,-0.0142981839085314,-0.0460637886455182,0.03289788590092699,0.013465984674767,0.0013871237865487,-0.0015231009534636,-0.10741996258532491,-0.03643248166054672,0.0077546706279453
E00025,milan,SS,2000,MC.PA,MC.PA,Fendi,1,2000-09-21,2000-09-21,2000-09-26,FTSEMIB.MI,2000-09-21,^FCHI,-0.08668708680956977,0.035746465193923306,0.002209047952622202,0.0061888016660709986,0.006674620341488701,0.0011049455962382024,-0.006787053376151012,0.0059170007109268,0.0037345290411342,-0.0055859913238987,-0.1220146228738783,-0.03643248166054672,-0.0161612756722698
E00026,paris,SS,2000,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2000-09-27,2000-09-27,2000-10-02,^FCHI,2000-09-27,^FCHI,-0.08233912406911736,-0.010302087660248293,0.010092662886943398,0.022835896013758503,0.022852212592406704,0.043696277335317904,0.027055015819649288,0.0037345290411342,0.0024275089915375987,0.016449370127840097,-0.1468248350376403,-0.10818198830384082,0.019726184089238305
